part_number,serial_number,internal_id,manufacture_date,internal_marking,is_active,notes
SYRINX-ENG-001,SYN-E-4821,DEM-2014-00001,2014-08-15,,TRUE,
SYRINX-ENG-001,SYN-E-4822,DEM-2014-00002,2014-08-15,,TRUE,
SYRINX-ENG-001,SYN-E-3109,DEM-2012-00003,2012-03-07,,TRUE,
SYRINX-ENG-001,SYN-E-S201,DEM-2021-00004,2021-05-01,,TRUE,Spare
9381T16G34,GE-E-791023,DEM-2015-00010,1998-04-12,,TRUE,
9381T16G34,GE-E-803445,DEM-2015-00011,2000-07-30,,TRUE,
9381T16G34,GE-E-792108,DEM-2016-00012,1996-12-05,,TRUE,
9381T16G34,GE-E-819334,DEM-2016-00013,2001-02-18,,TRUE,
9381T16G34,GE-E-807621,DEM-2017-00014,1999-09-22,,TRUE,
9381T16G34,GE-E-831097,DEM-2017-00015,2003-05-11,,TRUE,
9381T16G34,GE-E-798456,DEM-2018-00016,1997-08-03,,TRUE,
9381T16G34,GE-E-844201,DEM-2019-00017,2005-11-29,,TRUE,Spare
PT9A90B-PS,PR0147,DEM-2017-00020,,,TRUE,
TIO-873-AE5A,RL-10832-43A,DEM-2016-00030,,,TRUE,
TPE664-45UHR,P-67234C,DEM-2014-00040,,,TRUE,
TPE664-45UHR,P-68901C,DEM-2015-00041,,,TRUE,
REMIGE-PROP-001,REM-P-4401,DEM-2010-00050,2010-08-20,,TRUE,
REMIGE-PROP-001,REM-P-4402,DEM-2010-00051,2010-08-20,,TRUE,
REMIGE-PROP-001,REM-P-5103,DEM-2011-00052,2011-04-15,,TRUE,
REMIGE-PROP-001,REM-P-5104,DEM-2011-00053,2011-04-15,,TRUE,
REMIGE-PROP-001,REM-P-6207,DEM-2013-00054,2013-09-01,,TRUE,
REMIGE-PROP-001,REM-P-6208,DEM-2013-00055,2013-09-01,,TRUE,
REMIGE-PROP-001,REM-P-6209,DEM-2013-00056,2013-09-01,,TRUE,
REMIGE-PROP-001,REM-P-7301,DEM-2015-00057,2015-06-10,,TRUE,
REMIGE-PROP-001,REM-P-S501,DEM-2019-00058,2019-09-01,,TRUE,Spare
REMIGE-HUB-001,HUB-4401,DEM-2010-00060,2010-08-20,,TRUE,
REMIGE-HUB-001,HUB-4402,DEM-2010-00061,2010-08-20,,TRUE,
REMIGE-HUB-001,HUB-5103,DEM-2011-00062,2011-04-15,,TRUE,
REMIGE-HUB-001,HUB-5104,DEM-2011-00063,2011-04-15,,TRUE,
REMIGE-BLADE-001,BLD-4401-A,DEM-2010-00070,2010-08-20,,TRUE,
REMIGE-BLADE-001,BLD-4401-B,DEM-2010-00071,2010-08-20,,TRUE,
REMIGE-BLADE-001,BLD-4401-C,DEM-2010-00072,2010-08-20,,TRUE,
REMIGE-BLADE-001,BLD-4401-D,DEM-2010-00073,2010-08-20,,TRUE,
REMIGE-BLADE-001,BLD-5103-A,DEM-2011-00074,2011-04-15,,TRUE,
REMIGE-BLADE-001,BLD-5103-B,DEM-2011-00075,2011-04-15,,TRUE,
REMIGE-BLADE-001,BLD-5103-C,DEM-2011-00076,2011-04-15,,TRUE,
REMIGE-BLADE-001,BLD-5103-D,DEM-2011-00077,2011-04-15,,TRUE,
7HFR67C986/L439FA,200315,DEM-2011-00080,,,TRUE,
7HFR67C986/L439FA,410892,DEM-2013-00081,,,TRUE,
7HFR67C986/L439FA,531047,DEM-2014-00082,,,TRUE,Hub only
7HFR67C986/L439FA,623819,DEM-2016-00083,,,TRUE,
R666/7-15/F45,DRG/3205/92,DEM-2008-00090,1992-04-15,,TRUE,
R666/7-15/F45,DRG/8847/95,DEM-2009-00091,1995-07-20,,TRUE,
R623/7-456-F/50,DRG/4412/93,DEM-2009-00100,1993-06-20,,TRUE,
R623/7-456-F/50,DRG/9134/96,DEM-2010-00101,1996-03-08,,TRUE,
HC-E7A-6D/E43700K,KX52,DEM-2015-00110,,,TRUE,
HC-E7A-6D/E43700K,KX48,DEM-2016-00111,,,TRUE,
HC-E7A-6D/E43700K,KX63,DEM-2017-00112,,,TRUE,Spare
HC-E6YR-5ALTF,DJ8831B,DEM-2016-00120,,,TRUE,
SYRINX-STG-001,STG-7741,DEM-2019-00130,,ID-STG-001,TRUE,
SYRINX-STG-001,STG-7742,DEM-2019-00131,,ID-STG-002,TRUE,
SYRINX-STG-001,STG-7743,DEM-2020-00132,,ID-STG-003,TRUE,
SYRINX-STG-001,STG-S801,DEM-2022-00133,,,TRUE,Spare
GESIER-HYD-001,GES-3301,DEM-2018-00140,,,TRUE,
GESIER-HYD-001,GES-3302,DEM-2018-00141,,,TRUE,
GESIER-HYD-001,GES-3303,DEM-2019-00142,,,TRUE,Spare
SYRINX-FCU-001,FCU-2201,DEM-2018-00150,,,TRUE,
SYRINX-FCU-001,FCU-2202,DEM-2018-00151,,,TRUE,
SYRINX-FCU-001,FCU-S301,DEM-2020-00152,,,TRUE,Spare
SYRINX-OIL-PUMP-001,OP-1101,DEM-2018-00160,,,TRUE,
SYRINX-OIL-PUMP-001,OP-1102,DEM-2018-00161,,,TRUE,
SYRINX-OIL-PUMP-001,OP-1103,DEM-2019-00162,,,TRUE,
CARINA-ACT-001,ACT-5501,DEM-2018-00170,,,TRUE,
CARINA-ACT-001,ACT-5502,DEM-2018-00171,,,TRUE,
CARINA-ACT-001,ACT-5503,DEM-2019-00172,,,TRUE,
CARINA-ACT-001,ACT-5504,DEM-2020-00173,,,TRUE,Spare
JABOT-FUEL-001,JAB-6601,DEM-2019-00180,,,TRUE,
JABOT-FUEL-001,JAB-6602,DEM-2019-00181,,,TRUE,
JABOT-FUEL-001,JAB-6603,DEM-2020-00182,,,TRUE,
FURCULA-TW-001,TW38-4401,DEM-2020-00190,2020-01-15,,TRUE,
FURCULA-TW-001,TW38-4402,DEM-2021-00191,2021-03-10,,TRUE,
FURCULA-TW-002,TW12-4401,DEM-2020-00192,2020-01-15,,TRUE,
FURCULA-TW-002,TW12-4402,DEM-2022-00193,2022-06-20,,TRUE,
HUPPE-XPDR-001,XPDR-8801,DEM-2019-00200,,,TRUE,
HUPPE-XPDR-001,XPDR-8802,DEM-2019-00201,,,TRUE,
HUPPE-XPDR-001,XPDR-8803,DEM-2020-00202,,,TRUE,
TARSE-LG-001,LGTL-3301,DEM-2018-00210,,,TRUE,
TARSE-LG-001,LGTL-3302,DEM-2018-00211,,,TRUE,
TARSE-LG-001,LGTL-3303,DEM-2019-00212,,,TRUE,
TARSE-LG-001,LGTL-S401,DEM-2021-00213,,,TRUE,Spare
